Round,Player 1 Price,Player 2 Price,Player 1 Units Sold,Player 2 Units Sold,Player 1 Profit,Player 2 Profit,Player 1 Investment,Player 2 Investment,Player 1 Production Cost,Player 2 Production Cost
1,144.70957643496706,113.80288192010784,0,100,0.0,6380.288192010784,111.19597234732126,342.54274774979564,30,30
2,93.14037159814177,141.59935316549726,100,0,4419.486660688918,0.0,603.6547654097167,6580.988020516806,30,30
3,99.58879819421537,47.2166019178936,0,100,0.0,917.9721860349481,2713.0074156903534,75.72598116031891,30,30
4,139.76740820024412,134.29911693705657,0,100,0.0,9913.244364322047,1627.5749927018614,994.1783598623072,30,30
5,108.98787257123809,34.028755021950055,0,100,0.0,401.51411310784937,184.9091896148394,3275.872865247769,30,30
6,97.72191999358641,77.75598256606406,0,100,0.0,4775.598256606407,134.27359312848924,6895.717822166756,30,30
7,48.31129260443234,130.65937060367457,100,0,1558.4279573881217,0.0,41.410097236430175,131.94289806545416,30,30
8,102.75729129005362,128.68369187510527,100,0,7267.378503675064,0.0,496.06242818461084,1034.2777590739865,30,30
9,107.75269743331994,61.773202088683064,0,100,0.0,3177.3202088683065,6182.925881112273,677.5359394903694,30,30
10,90.7094074732359,59.355641175301635,0,100,0.0,2935.5641175301635,184.32214953233296,5583.035135991905,30,30
